curso;colesMMP;colesMP;colesP;colesPP;colesMPP;incrementoMMP;incrementoMP;incrementoP;incrementoPP;incrementoMPP
2001;1478;2402;2448;3144;4203;;;;;
2002;1475;2465;2473;3078;4093;-3;63;25;-66;-110
2003;1470;2456;2579;3015;4000;-5;-9;106;-63;-93
2004;1466;2467;2609;3026;3927;-4;11;30;11;-73
2005;1478;2463;2673;3022;3871;12;-4;64;-4;-56
2006;1480;2471;2713;3024;3885;2;8;40;2;14
2007;1501;2528;2902;3279;3470;21;57;189;255;-415
2008;1497;2502;2825;3129;3804;-4;-26;-77;-150;334
2009;1509;2583;2817;3181;3749;12;81;-8;52;-55
2010;1517;2630;2827;3194;3719;8;47;10;13;-30
2011;1520;2637;2839;3187;3718;12;7;12;-7;-1
2012;1528;2641;2861;3199;3686;8;4;22;12;-32
2013;1526;2607;2911;3168;3696;-2;-34;50;-31;10
2014;1529;2605;2909;3164;3676;3;-2;-2;-4;-20
2015;1538;2606;2907;3170;3667;9;1;-2;6;-9
2016;1539;2601;2950;3124;3650;1;-5;43;-46;-17
2017;1542;2632;2934;3101;3642;3;31;-16;-23;-8
2018;1544;2630;2967;3104;3626;2;-2;33;3;-16
2019;1554;2632;3093;3093;3623;10;2;126;-11;-3
2020;1557;2636;2994;3110;3599;3;4;-99;17;-24
2021;1552;2655;2997;3092;3595;-5;19;3;-18;-4
2022;1552;2669;3028;3046;3586;0;14;31;-46;-9
