curso,colesMMP,colesMP,colesP,colesPP,colesMPP
2001,1478,2402,2448,3144,4203
2002,1475,2465,2473,3078,4093
2003,1470,2456,2579,3015,4000
2004,1466,2467,2609,3026,3927
2005,1478,2463,2673,3022,3871
2006,1480,2471,2713,3024,3885
2007,1501,2528,2902,3279,3470
2008,1497,2502,2825,3129,3804
2009,1509,2583,2817,3181,3749
2010,1517,2630,2827,3194,3719
2011,1520,2637,2839,3187,3718
2012,1528,2641,2861,3199,3686
2013,1526,2607,2911,3168,3696
2014,1529,2605,2909,3164,3676
2015,1538,2606,2907,3170,3667
2016,1539,2601,2950,3124,3650
2017,1542,2632,2934,3101,3642
2018,1544,2630,2967,3104,3626
2019,1554,2632,3093,3093,3623
2020,1557,2636,2994,3110,3599
2021,1552,2655,2997,3092,3595
2022,1552,2669,3028,3046,3586
2023,1555,2670,3014,3084,3612
2024,1557,2673,3017,3091,3612
2025,1559,2676,3014,3101,3624
2026,1561,2678,3013,3106,3625
2027,1563,2680,3012,3110,3631
2028,1565,2682,3011,3112,3632
