curso_academico,Muy_densa,Densa,Moderadamente_densa,Poco_densa,Muy_poco_densa,uva,ucm,uam,uc3m,urjc,total_matriculados,total_poblacion,num_colegios,y
2022,0,0,0,0,1,0,0,0,1,0,1074.0,5251051,3650,1050.0
2022,0,0,0,1,0,0,0,0,1,0,3199.0,9915568,3124,3126.0
2022,0,0,1,0,0,0,0,0,1,0,6763.0,10649189,2601,6769.0
2022,0,1,0,0,0,0,0,0,1,0,6606.0,10093809,2950,6627.0
2022,1,0,0,0,0,0,0,0,1,0,8036.0,7485171,1539,8153.0
2023,0,0,0,0,1,0,0,0,1,0,1050.0,5203404,3642,1042.0
2023,0,0,0,1,0,0,0,0,1,0,3126.0,9826633,3101,3066.0
2023,0,0,1,0,0,0,0,0,1,0,6769.0,10765922,2632,6947.0
2023,0,1,0,0,0,0,0,0,1,0,6627.0,10105627,2934,6628.0
2023,1,0,0,0,0,0,0,0,1,0,8153.0,7514972,1542,8268.0
2024,0,0,0,0,1,0,0,0,1,0,1042.0,5172135,3626,1035.0
2024,0,0,0,1,0,0,0,0,1,0,3066.0,9763265,3104,3043.0
2024,0,0,1,0,0,0,0,0,1,0,6947.0,10822343,2630,7081.0
2024,0,1,0,0,0,0,0,0,1,0,6628.0,10242382,2967,6820.0
2024,1,0,0,0,0,0,0,0,1,0,8268.0,7561707,1544,8397.0
2025,0,0,0,0,1,0,0,0,1,0,1035.0,5167557,3623,1036.0
2025,0,0,0,1,0,0,0,0,1,0,3043.0,9752219,3092,3031.0
2025,0,0,1,0,0,0,0,0,1,0,7081.0,10984239,2632,7296.0
2025,0,1,0,0,0,0,0,0,1,0,6820.0,10305901,3093,7250.0
2025,1,0,0,0,0,0,0,0,1,0,8397.0,7635419,1554,8583.0
2026,0,0,0,0,1,0,0,0,1,0,1036.0,5163292,3599,1030.0
2026,0,0,0,1,0,0,0,0,1,0,3031.0,9763438,3110,3057.0
2026,0,0,1,0,0,0,0,0,1,0,7296.0,11180878,2636,7588.0
2026,0,1,0,0,0,0,0,0,1,0,7250.0,10390609,2994,7303.0
2026,1,0,0,0,0,0,0,0,1,0,8583.0,7750859,1557,8827.0
2027,0,0,0,0,1,0,0,0,1,0,1030.0,5165328,3595,1031.0
2027,0,0,0,1,0,0,0,0,1,0,3057.0,9840666,3092,3079.0
2027,0,0,1,0,0,0,0,0,1,0,7588.0,11181070,2655,7791.0
2027,0,1,0,0,0,0,0,0,1,0,7303.0,10327539,2997,7299.0
2027,1,0,0,0,0,0,0,0,1,0,8827.0,7668824,1552,8884.0
2028,0,0,0,0,1,0,0,0,1,0,1031.0,5173905,3586,1032.0
2028,0,0,0,1,0,0,0,0,1,0,3079.0,9823401,3046,3041.0
2028,0,0,1,0,0,0,0,0,1,0,7791.0,11210076,2669,7970.0
2028,0,1,0,0,0,0,0,0,1,0,7299.0,10409932,3028,7457.0
2028,1,0,0,0,0,0,0,0,1,0,8884.0,7643551,1552,8912.0
